ID,sex,owngun,race,marital,relig,attend3,partyid,degree,cappun,homosex2,premarsx2,grass,gunlaw,vote08,divlaw,getahead,natroad,natsci,eqwlth,age
1624,2,2,3,1,8,2,4,1,1,1,,1,2,2,,2,1,1,1,50
684,2,,1,1,2,2,4,2,,,1,1,,1,2,,2,1,5,69
568,2,2,1,4,4,1,7,2,,,1,,2,2,2,1,1,,,41
1515,2,1,2,1,2,2,1,2,2,1,,1,1,1,,1,3,2,1,55
195,2,,1,1,2,1,1,2,1,,1,1,,1,,,2,1,2,65
1909,2,2,2,4,1,3,7,2,1,0,0,,1,1,1,1,1,2,,39
878,1,,3,5,2,1,5,1,2,,1,,,1,1,,3,2,4,38
877,2,2,3,5,4,1,4,1,2,1,1,,1,2,2,1,3,3,,39
844,2,2,1,1,1,3,2,2,2,0,,1,1,1,,3,2,2,1,48
1843,2,,1,4,1,2,4,2,1,,1,1,,2,1,,2,2,3,32
1914,1,3,1,5,1,1,3,2,1,0,1,,2,1,3,1,2,1,,23
1844,2,2,1,1,1,2,1,2,1,0,,1,1,1,,1,1,1,7,29
1662,2,,1,3,11,3,2,1,1,,0,1,,1,3,,,2,2,46
1447,1,2,1,1,1,3,1,2,1,1,1,,1,1,1,1,1,1,,62
986,1,1,1,1,1,1,2,2,1,1,,2,1,1,,1,1,1,4,83
861,2,2,1,3,11,2,6,2,1,1,0,,1,1,1,1,1,2,,49
668,2,2,2,3,2,2,1,2,2,0,,1,,1,,1,1,1,1,73
654,1,2,3,5,12,1,2,2,2,1,,2,1,2,,1,2,1,1,25
853,1,2,1,1,2,2,5,2,1,1,,1,1,2,,1,1,2,3,38
1650,1,1,1,1,4,1,5,2,1,1,,2,2,1,,1,1,3,7,68
449,1,1,1,3,1,1,7,2,1,0,1,,2,2,2,2,1,1,,53
565,1,2,1,1,1,3,4,2,2,1,,2,1,1,,1,2,1,7,30
60,2,,1,1,1,3,4,1,2,,0,2,,2,2,,2,,3,41
1796,2,1,1,2,2,3,4,1,1,1,0,,1,1,2,1,1,1,,80
1407,1,,1,3,2,1,,1,1,,,1,,2,1,,2,2,4,43
1915,2,,2,3,1,2,1,1,1,,1,2,,1,1,,3,1,5,57
736,1,,1,2,1,1,2,1,1,,0,,,2,2,,3,,4,81
1924,1,3,2,1,1,3,1,1,1,1,,2,2,1,,1,1,3,5,61
191,1,,1,1,1,1,3,2,2,,0,1,,1,2,,2,2,7,67
1910,2,,2,4,1,2,1,1,2,,0,1,,1,1,,1,1,3,57
1695,1,,1,5,5,2,6,1,2,,1,2,,,,,3,2,5,18
1692,2,2,1,3,1,1,1,2,2,,,,1,2,3,1,2,2,,51
563,2,2,1,1,1,3,4,1,,1,,2,,2,,1,2,2,,50
720,2,2,2,3,1,1,1,2,2,1,1,,1,1,1,1,3,1,,51
519,1,2,3,1,1,3,4,1,2,1,0,,1,2,2,1,,,,41
229,2,,1,1,2,2,3,2,,,0,2,,1,,,2,,7,48
438,2,1,1,1,1,3,2,1,1,1,0,,1,1,2,1,2,2,,75
1060,1,,1,5,4,3,4,1,2,,0,2,,,1,,2,2,2,19
1426,1,,1,1,4,1,6,2,1,,0,2,,1,2,,1,2,4,77
497,1,,3,1,2,2,6,1,1,,0,2,,2,1,,2,2,1,53
1440,2,2,1,5,2,1,2,2,1,,1,,1,2,2,1,2,,,22
236,2,2,1,1,2,2,2,1,2,0,1,,1,,1,1,1,2,,35
1896,1,1,1,1,1,3,6,1,,1,,2,2,2,,3,2,1,7,77
639,2,1,1,1,5,1,2,2,2,0,,,2,1,,2,1,1,6,48
499,2,,3,4,2,1,4,2,2,,1,1,,,1,,2,1,7,39
549,1,,1,1,1,2,5,1,1,,1,1,,2,1,,2,1,4,32
842,1,2,1,1,1,2,4,2,1,0,1,,1,1,3,1,1,3,,38
339,1,2,1,3,2,1,1,1,1,,,1,1,2,,1,1,2,1,57
76,1,,1,1,2,2,2,2,1,,0,2,,2,2,,1,1,2,68
1358,2,,1,3,1,2,2,1,1,,1,2,,1,2,,2,3,1,50
1736,2,1,1,1,1,2,2,1,1,1,0,,2,1,2,1,1,2,,73
683,1,,1,1,2,2,2,1,2,,1,2,,2,3,,2,,4,46
374,1,,1,5,2,1,7,2,1,,1,2,,1,2,,1,3,3,42
1648,1,,1,1,4,1,4,1,1,,1,2,,1,2,,1,2,7,82
1751,2,2,1,3,1,2,4,1,1,1,,1,1,2,,1,2,2,1,28
1684,2,2,1,1,2,2,4,1,1,1,,2,1,2,,1,2,1,1,35
731,1,3,2,2,1,1,1,1,2,1,,1,1,1,,1,2,2,1,66
1495,1,,1,5,2,1,2,2,2,,0,1,,2,2,,1,1,3,47
221,1,2,1,1,2,1,4,1,,1,,,,,,1,,,4,35
630,2,2,1,5,2,1,2,2,1,0,,1,2,,,1,3,2,3,20
1375,1,1,1,2,2,3,2,1,,1,,2,1,2,,1,2,2,1,89
1879,2,1,1,1,1,3,4,2,2,1,,2,2,2,,1,2,1,2,44
934,2,1,1,3,1,1,7,1,,1,,2,2,2,,1,2,3,7,48
1326,2,1,1,1,2,2,1,2,1,,,2,1,1,,1,2,1,5,65
991,2,,3,1,1,3,1,1,2,,1,2,,,1,,2,3,7,49
800,2,2,1,5,11,2,4,2,2,1,0,,2,2,1,1,2,2,,22
1597,2,2,3,5,4,1,3,1,2,0,,1,2,1,,1,3,1,1,31
183,1,2,1,1,1,3,6,2,1,1,,2,2,1,,1,2,3,7,38
589,1,,2,1,1,2,2,2,2,,0,1,,1,3,,1,2,1,31
1519,2,,2,4,2,2,4,1,1,,0,2,,2,1,,1,,2,37
625,1,2,2,1,1,2,1,2,2,1,0,,1,1,3,1,1,3,,46
702,1,,2,5,4,1,3,1,2,,0,2,,,3,,2,1,3,18
1310,1,2,1,1,2,2,6,2,1,1,0,,1,1,2,1,1,1,,51
1606,1,,1,4,1,1,2,1,1,,1,1,,2,1,,1,2,1,53
1371,1,1,1,1,2,1,1,2,1,1,0,,1,1,2,1,1,1,,62
908,1,2,1,3,1,1,5,2,,1,0,,1,2,2,1,1,1,,40
804,1,2,1,1,1,1,,2,1,1,,2,1,1,,3,1,2,1,63
1762,1,,1,3,1,1,4,1,1,,0,1,,2,2,,1,1,1,63
1443,1,2,1,2,1,3,6,1,,1,,2,2,1,,1,3,3,6,89
1151,1,2,2,5,10,2,4,1,,1,0,,1,,1,1,3,2,,27
914,1,,2,5,4,1,2,2,2,,1,1,,2,,,2,2,1,30
1247,2,1,1,1,1,2,4,1,1,1,1,,1,2,1,1,2,3,,41
726,2,2,1,4,2,1,2,2,1,0,,1,2,1,,1,2,2,1,49
3,1,2,3,1,1,1,3,2,,0,,1,2,1,,3,1,1,5,42
1863,2,,2,1,1,2,4,1,1,,0,,,,1,,2,2,1,20
652,2,,3,1,1,3,4,1,2,,0,2,,2,2,,2,3,3,44
809,1,2,2,4,4,1,1,1,1,0,,2,1,2,,1,2,1,1,67
336,2,1,1,2,2,1,3,2,,1,1,,1,1,1,1,1,,,87
1789,1,1,1,3,4,1,,2,1,0,1,,2,,2,1,1,,,35
1451,2,2,1,2,2,3,3,1,1,1,0,,1,1,2,1,2,,,86
919,1,,1,1,1,1,7,2,1,,0,,,1,2,,2,1,7,67
1087,2,1,1,1,4,1,4,2,2,0,1,,1,2,1,1,1,1,,42
1693,1,,1,5,2,1,4,2,1,,1,2,,2,,,3,1,4,22
